50	0.004	0	0.006	0
100	0.018	0.010	0.036	0.030
150	0.060	0.060	0.130	0.130
200	0.154	0.150	0.332	0.320
250	0.322	0.320	0.672	0.660
300	0.596	0.590	1.206	1.200
350	0.996	0.990	2.018	2.010
400	1.534	1.530	3.184	3.170
450	2.228	2.220	4.776	4.750
500	3.090	3.080	6.880	6.870
