50	0.000	0.000	0.004	0.000
100	0.014	0.010	0.026	0.020
150	0.040	0.030	0.084	0.080
200	0.102	0.100	0.212	0.200
250	0.216	0.210	0.454	0.440
300	0.418	0.410	0.836	0.810
350	0.734	0.730	1.384	1.370
400	1.210	1.210	2.136	2.130
450	1.886	1.880	3.214	3.200
500	2.812	2.810	4.648	4.640
